GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	source	37011757		1	823097	+	823097		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011758	VBILacPla14617_0001	686	811	+	126		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011759	VBILacPla14617_0001	686	811	+	126		integral membrane protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011760	VBILacPla14617_0002	979	1968	-	990		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011761	VBILacPla14617_0002	979	1968	-	990		Beta-lactamase class C and other penicillin binding proteins
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011763	VBILacPla14617_0003	2386	4644	+	2259		Pyruvate formate-lyase (EC 2.3.1.54)
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011762	VBILacPla14617_0003	2386	4644	+	2259		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011764	VBILacPla14617_0004	4816	5502	+	687		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011765	VBILacPla14617_0004	4816	5502	+	687		Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011767	VBILacPla14617_0005	5727	6038	-	312		probably aromatic ring hydroxylating enzyme, evidenced by COGnitor; PaaD-like protein (DUF59) involved in Fe-S cluster assembly
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011766	VBILacPla14617_0005	5727	6038	-	312		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011769	VBILacPla14617_0006	7099	8019	+	921		Oxidoreductase, aldo/keto reductase family
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011768	VBILacPla14617_0006	7099	8019	+	921		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011770	VBILacPla14617_0007	8189	8713	+	525		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011771	VBILacPla14617_0007	8189	8713	+	525		Hit Family Protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011773	VBILacPla14617_0008	8808	9053	-	246		FIG00747257: hypothetical protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011772	VBILacPla14617_0008	8808	9053	-	246		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011774	VBILacPla14617_0009	9226	9654	+	429		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011775	VBILacPla14617_0009	9226	9654	+	429		hypothetical protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011776	VBILacPla14617_0010	9757	10398	-	642		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011777	VBILacPla14617_0010	9757	10398	-	642		FIG00744455: hypothetical protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011778	VBILacPla14617_0411	11002	11124	+	123		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011779	VBILacPla14617_0411	11002	11124	+	123		hypothetical protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011780	VBILacPla14617_0412	11645	13135	-	1491		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011781	VBILacPla14617_0412	11645	13135	-	1491		High-affinity choline uptake protein BetT
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011783	VBILacPla14617_0413	14083	15927	+	1845		FUPA25 P-type ATPase
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011782	VBILacPla14617_0413	14083	15927	+	1845		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	CDS	37011785	VBILacPla14617_0414	15930	16109	+	180		hypothetical protein
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011784	VBILacPla14617_0414	15930	16109	+	180		
Lactobacillus plantarum subsp. plantarum ATCC 14917	NZ_GG670225	PATRIC	gene	37011786	VBILacPla14617_0415	16253	16921	-	669		
