GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus mucosae LM1	AHIT01000001	PATRIC	source	70339033		1	62421	+	62421		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339035	VBILacMuc233396_0001	2042	2725	+	684		regulatory protein, TetR
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339034	VBILacMuc233396_0001	2042	2725	+	684		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339036	VBILacMuc233396_0002	4376	5236	-	861		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339037	VBILacMuc233396_0002	4376	5236	-	861		SPFH domain/band 7 family protein
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339038	VBILacMuc233396_0003	5541	5705	+	165		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339039	VBILacMuc233396_0003	5541	5705	+	165		hypothetical protein
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339040	VBILacMuc233396_0004	6086	7591	-	1506		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339041	VBILacMuc233396_0004	6086	7591	-	1506		Glycerol kinase (EC 2.7.1.30)
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339043	VBILacMuc233396_0005	7948	8133	-	186		4-oxalocrotonate tautomerase (EC 5.3.2.-); Xylose transport system permease protein xylH
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339042	VBILacMuc233396_0005	7948	8133	-	186		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	gene	70339044	VBILacMuc233396_0006	8623	8772	-	150		
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339045	VBILacMuc233396_0006	8623	8772	-	150		hypothetical protein
Lactobacillus mucosae LM1	AHIT01000001	PATRIC	CDS	70339047	VBILacMuc233396_0007	9181	11763	+	2583		Cell wall surface anchor family protein
