GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	source	44991832		1	4970	+	4970		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	CDS	44991834	VBILacOri169381_0001	48	833	+	786		Aliphatic amidase amiE (EC 3.5.1.4)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	gene	44991833	VBILacOri169381_0001	48	833	+	786		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	CDS	44991836	VBILacOri169381_0002	852	2030	+	1179		Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	gene	44991835	VBILacOri169381_0002	852	2030	+	1179		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	gene	44991837	VBILacOri169381_0003	2163	4097	-	1935		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	CDS	44991838	VBILacOri169381_0003	2163	4097	-	1935		ABC transporter ATP-binding protein uup
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	CDS	44991840	VBILacOri169381_0004	4328	4969	+	642		Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000001	PATRIC	gene	44991839	VBILacOri169381_0004	4328	4969	+	642		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	source	44991841		1	16439	+	16439		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991843	VBILacOri169381_0005	53	961	-	909		UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991842	VBILacOri169381_0005	53	961	-	909		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991844	VBILacOri169381_0006	1026	2042	-	1017		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991845	VBILacOri169381_0006	1026	2042	-	1017		Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991847	VBILacOri169381_0007	2066	2881	-	816		Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991846	VBILacOri169381_0007	2066	2881	-	816		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991849	VBILacOri169381_0008	2881	3834	-	954		HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991848	VBILacOri169381_0008	2881	3834	-	954		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991851	VBILacOri169381_0009	3848	4204	-	357		membrane protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991850	VBILacOri169381_0009	3848	4204	-	357		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991852	VBILacOri169381_0010	4201	4545	-	345		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991853	VBILacOri169381_0010	4201	4545	-	345		phage shock protein C, PspC
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991856	VBILacOri169381_0011	4602	5600	-	999		Peptide chain release factor 2
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991854	VBILacOri169381_pg001	4602	5708	-	1107		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991855	VBILacOri169381_0011	4602	5600	-	999		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991858	VBILacOri169381_0012	5811	8174	-	2364		Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991857	VBILacOri169381_0012	5811	8174	-	2364		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991859	VBILacOri169381_0013	8372	8911	-	540		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991860	VBILacOri169381_0013	8372	8911	-	540		Ribosomal subunit interface protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991861	VBILacOri169381_0014	9044	9520	-	477		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991862	VBILacOri169381_0014	9044	9520	-	477		Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991864	VBILacOri169381_0015	9521	9652	+	132		hypothetical protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991863	VBILacOri169381_0015	9521	9652	+	132		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991866	VBILacOri169381_0016	9705	11033	-	1329		ComF operon protein A, DNA transporter ATPase
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991865	VBILacOri169381_0016	9705	11033	-	1329		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991867	VBILacOri169381_0017	11100	11744	+	645		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991868	VBILacOri169381_0017	11100	11744	+	645		FIG000605: protein co-occurring with transport systems (COG1739)
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991870	VBILacOri169381_0018	11830	12090	-	261		FIG00745747: hypothetical protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991869	VBILacOri169381_0018	11830	12090	-	261		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991871	VBILacOri169381_0019	12104	13942	-	1839		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991872	VBILacOri169381_0019	12104	13942	-	1839		transport protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991874	VBILacOri169381_0020	14001	14129	+	129		hypothetical protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991873	VBILacOri169381_0020	14001	14129	+	129		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991875	VBILacOri169381_0021	14271	15899	-	1629		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991876	VBILacOri169381_0021	14271	15899	-	1629		Heat shock protein 60 family chaperone GroEL
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	gene	44991877	VBILacOri169381_0022	15962	16246	-	285		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000002	PATRIC	CDS	44991878	VBILacOri169381_0022	15962	16246	-	285		Heat shock protein 60 family co-chaperone GroES
Lactobacillus oris PB013-T2-3	NZ_AEKL01000003	PATRIC	source	44991879		1	1673	+	1673		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000003	PATRIC	CDS	44991881	VBILacOri169381_0023	47	865	-	819		Mobile element protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000003	PATRIC	gene	44991880	VBILacOri169381_0023	47	865	-	819		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000003	PATRIC	gene	44991882	VBILacOri169381_0024	895	1608	-	714		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000003	PATRIC	CDS	44991883	VBILacOri169381_0024	895	1608	-	714		ISSth1, transposase (orf1), IS3 family
Lactobacillus oris PB013-T2-3	NZ_AEKL01000004	PATRIC	source	44991884		1	47182	+	47182		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000004	PATRIC	CDS	44991886	VBILacOri169381_0025	225	665	-	441		PhnB protein; putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein
Lactobacillus oris PB013-T2-3	NZ_AEKL01000004	PATRIC	gene	44991885	VBILacOri169381_0025	225	665	-	441		
Lactobacillus oris PB013-T2-3	NZ_AEKL01000004	PATRIC	CDS	44991888	VBILacOri169381_0026	825	1991	+	1167		Cyanate permease
Lactobacillus oris PB013-T2-3	NZ_AEKL01000004	PATRIC	gene	44991887	VBILacOri169381_0026	825	1991	+	1167		
