GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	source	59586708		1	31406	+	31406		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586710	VBILacSue203137_0001	362	1537	-	1176		Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586709	VBILacSue203137_0001	362	1537	-	1176		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586712	VBILacSue203137_0002	1564	2349	-	786		Aliphatic amidase amiE (EC 3.5.1.4)
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586711	VBILacSue203137_0002	1564	2349	-	786		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586713	VBILacSue203137_0003	2911	4005	-	1095		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586714	VBILacSue203137_0003	2911	4005	-	1095		Glycerol dehydrogenase (EC 1.1.1.6)
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586716	VBILacSue203137_0004	4273	5208	-	936		hypothetical protein
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586715	VBILacSue203137_0004	4273	5208	-	936		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586717	VBILacSue203137_0005	5235	6086	-	852		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586718	VBILacSue203137_0005	5235	6086	-	852		Glutamine ABC transporter substrate-binding protein
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586719	VBILacSue203137_0006	6133	6870	-	738		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586720	VBILacSue203137_0006	6133	6870	-	738		ABC transporter ATPase component
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586721	VBILacSue203137_0007	6863	7552	-	690		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586722	VBILacSue203137_0007	6863	7552	-	690		ABC transporter permease component
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586723	VBILacSue203137_0008	7533	8192	-	660		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586724	VBILacSue203137_0008	7533	8192	-	660		Polar amino acid ABC uptake transporter membrane-spanning protein
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586725	VBILacSue203137_0009	8224	9522	-	1299		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586726	VBILacSue203137_0009	8224	9522	-	1299		O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586728	VBILacSue203137_0010	9572	10756	-	1185		Cystathionine gamma-lyase (EC 4.4.1.1)
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586727	VBILacSue203137_0010	9572	10756	-	1185		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586729	VBILacSue203137_0011	11195	11899	-	705		
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586730	VBILacSue203137_0011	11195	11899	-	705		hypothetical protein
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	CDS	59586732	VBILacSue203137_0012	11896	12585	-	690		hypothetical protein
Lactobacillus suebicus KCTC 3549	BACO01000001	PATRIC	gene	59586731	VBILacSue203137_0012	11896	12585	-	690		
