GENOME_NAME	ACCESSION	ANNOTATION	FEATURE_TYPE	NA_FEATURE_ID	LOCUS_TAG	START	END	STRAND	NA_LENGTH	GENE	PRODUCT

Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	source	44986565		1	102229	+	102229		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986567	VBILacIne174365_0001	8779	10125	-	1347		NADH oxidase
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986566	VBILacIne174365_0001	8779	10125	-	1347		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986569	VBILacIne174365_0002	10232	12628	-	2397		Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9); Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986568	VBILacIne174365_0002	10232	12628	-	2397		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986570	VBILacIne174365_0003	12776	13501	-	726		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986571	VBILacIne174365_0003	12776	13501	-	726		Transcriptional regulator, GntR family
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986573	VBILacIne174365_0004	13501	14433	-	933		Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986572	VBILacIne174365_0004	13501	14433	-	933		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986574	VBILacIne174365_0005	14536	15231	-	696		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986575	VBILacIne174365_0005	14536	15231	-	696		Ribose 5-phosphate isomerase A (EC 5.3.1.6)
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986577	VBILacIne174365_0006	15218	16156	-	939		Ribokinase (EC 2.7.1.15)
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986576	VBILacIne174365_0006	15218	16156	-	939		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986579	VBILacIne174365_0007	16310	16576	+	267		ACT domain-containing conserved hypothetical protein
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986578	VBILacIne174365_0007	16310	16576	+	267		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986581	VBILacIne174365_0008	16594	17937	+	1344		FIG00746171: hypothetical protein
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986580	VBILacIne174365_0008	16594	17937	+	1344		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986582	VBILacIne174365_0009	18085	19173	-	1089		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986583	VBILacIne174365_0009	18085	19173	-	1089		N-acetylmuramoyl-L-alanine amidase, family 4
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986584	VBILacIne174365_0010	19731	20198	-	468		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986585	VBILacIne174365_0010	19731	20198	-	468		Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	gene	44986586	VBILacIne174365_0011	20276	21679	-	1404		
Lactobacillus iners LEAF 2062A-h1	NZ_AEKJ01000001	PATRIC	CDS	44986587	VBILacIne174365_0011	20276	21679	-	1404		Iron-sulfur cluster assembly protein SufB
